"key","message","comment","context"
"Address",,,
"Addresses",,,
"Amount",,,
"Amount Collected",,,
"Before Days",,,
"Capacity",,,
"City",,,
"Country",,,
"Description",,,
"Discount",,,
"Discount Amount",,,
"Discount Percent",,,
"Discounts",,,
"Email",,,
"End date",,,
"Enter proper 'Start' and 'End' date.",,,
"Event",,,
"Event Fee",,,
"Event Registration",,,
"Event Registrations",,,
"Events",,,
"Flat/House No.",,,
"Full address",,,
"Land Mark",,,
"Name",,,
"Reference",,,
"Registration Close Date",,,
"Registration Date",,,
"Registration Open Date",,,
"Sorry!! registration for this event have been closed.","fr_fnkj",,
"Sorry!! registration for this event is not yet started.",,,
"Sorry!! this event is full.",,,
"Start Date",,,
"Street",,,
"Total Discount",,,
"Total Entry",,,
"eval:com.axelor.i18n.I18n.get('Sorry!! registration for this event have been closed.')",,,
"eval:com.axelor.i18n.I18n.get('Sorry!! registration for this event is not yet started.')",,,
"eval:com.axelor.i18n.I18n.get('Sorry!! this event is full.')",,,
"menu-address",,,
"menu-discount",,,
"menu-event",,,
"menu-event-registration",,,
